x,y,z
0,0,0
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.6476,50.813
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
5.5811,-47.2311,50.9796
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
4.998,-47.6476,51.8126
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
3.9151,-47.481,50.9796
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
5.1646,-47.481,50.3965
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
3.1654,-45.8983,51.3961
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
4.7481,-47.8975,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
7.5803,-46.0649,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
5.1646,-47.2311,49.147
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
3.4986,-47.2311,49.98
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
6.2475,-46.648,49.7301
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
8.163401,-45.8983,53.1454
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.4145,-47.6476,49.147
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.9976,-44.6488,49.98
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
5.5811,-45.6484,49.5635
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
1.7493,-48.4806,51.3961
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
6.4974,-44.3989,52.479
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
8.163401,-47.481,50.1466
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
6.2475,-49.8134,48.314
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
4.7481,-47.2311,50.9796
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
5.9976,-44.6488,49.3136
7.5803,-46.648,49.7301
7.5803,-46.648,49.7301
7.5803,-46.648,49.7301
7.5803,-46.648,49.7301
