x,y,z
0,0,0
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
6.4974,-19.3256,-91.7966
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
4.7481,-18.7425,-88.0481
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.1638,-19.3256,-88.8811
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
7.7469,-15.4105,-91.2135
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.2475,-15.1606,-89.964
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
6.9139,-17.3264,-89.2976
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
2.3324,-19.5755,-89.7141
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
6.4974,-16.9099,-88.298
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
3.4986,-18.1594,-94.7121
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
6.4974,-17.5763,-90.3805
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
8.163401,-17.7429,-91.7966
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
9.2463,-17.7429,-96.62801
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
16.66,-50.2299,-101.3761
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
1.0829,-75.1366,32.6536
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-6.7473,-51.646,49.147
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
-7.3304,-27.1558,53.1454
