x,y,z
0,0,0
27.5723,-53.5619,50.3965
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-58.1434,48.8971
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
27.3224,-57.0605,52.479
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
26.9059,-60.9756,54.2283
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
27.7389,-54.3949,50.5631
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
28.9884,-55.811,52.0625
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
24.7401,-55.4778,51.2295
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
30.821,-54.8114,49.98
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
26.4894,-55.4778,51.3961
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
28.5719,-56.644,51.2295
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
27.7389,-55.2279,51.646
26.3228,-56.644,51.646
