x,y,z
0,0,0
24.5735,-54.3949,52.6456
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
28.8218,-56.3941,54.8114
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
27.3224,-57.8935,53.3953
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
26.3228,-55.9776,53.1454
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
25.9063,-57.2271,52.479
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
28.1554,-55.2279,52.2291
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
25.5731,-57.6436,52.8955
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
26.7393,-55.811,55.2279
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
25.5731,-57.477,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
27.9888,-58.5599,52.6456
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
23.9071,-58.3933,52.479
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
25.4065,-55.0613,55.2279
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
26.3228,-52.0625,52.2291
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
23.324,-56.2275,55.8943
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
24.5735,-55.9776,48.8971
