x,y,z
0,0,0
6.2475,-49.2303,50.3965
6.2475,-49.2303,50.3965
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
2.7489,-45.0653,48.4806
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
6.2475,-49.8134,51.2295
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
3.4986,-48.314,50.1466
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
4.165,-49.2303,48.8971
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
6.7473,-53.8118,44.7321
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
5.1646,-48.8138,47.8975
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
6.2475,-48.9804,48.314
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
9.2463,-47.2311,46.3981
5.5811,-47.8975,52.2291
5.5811,-47.8975,52.2291
5.5811,-47.8975,52.2291
5.5811,-47.8975,52.2291
5.5811,-47.8975,52.2291
4.3316,-49.3969,49.5635
4.3316,-49.3969,49.5635
4.3316,-49.3969,49.5635
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
5.5811,-46.3148,50.813
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.3316,-49.3969,49.98
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
4.7481,-44.8154,49.3136
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.8138,51.8126
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
5.1646,-48.4806,51.2295
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
6.4141,-47.8975,49.5635
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
3.7485,-47.6476,51.2295
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
5.831,-47.2311,51.646
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
6.2475,-50.8963,49.5635
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
1.9159,-50.4798,50.1466
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
4.3316,-48.4806,50.5631
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
5.831,-47.2311,51.8126
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
2.1658,-49.3969,51.2295
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
5.4145,-46.8146,50.1466
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
1.9159,-50.2299,50.813
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
3.4986,-43.316,49.3136
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
5.831,-45.4818,51.2295
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
7.3304,-42.483,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.4141,-46.3148,52.8955
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.2475,-45.0653,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
6.7473,-48.0641,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
4.5815,-45.8983,50.3965
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
7.5803,-44.2323,51.8126
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
8.163401,-48.4806,50.5631
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
6.4974,-46.0649,48.314
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
5.1646,-43.0661,52.0625
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
4.5815,-44.8154,51.646
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.7469,-47.2311,52.479
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
7.9968,-48.8138,51.8126
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
4.998,-45.8983,52.0625
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
6.7473,-47.0645,52.2291
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.3304,-45.4818,50.813
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.7469,-48.9804,53.1454
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.3304,-49.3969,51.646
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
7.1638,-45.4818,51.8126
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
6.9139,-47.2311,49.98
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
3.9151,-48.314,48.0641
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
7.1638,-47.2311,50.5631
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
3.1654,-43.0661,51.8126
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
5.1646,-43.0661,50.1466
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
4.165,-46.648,49.5635
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.831,-42.8995,49.7301
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
5.5811,-45.8983,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
7.7469,-46.648,51.8126
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
6.4141,-45.2319,50.813
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
7.5803,-44.8154,49.3136
